$ Deuteron energy spectrum for PHITS source
$ Converted from: spectrum_lower.csv
$ Energy range: 0.4598 - 7.9798 MeV
$ Number of bins: 383
$
$ Format: e-type=22 (user-defined histogram)
$ ne = number of bins
$ followed by: E_low  E_high  relative_intensity
$
    ne = 383
    1.301871e+00  1.311051e+00  2.725789e-01
    1.311051e+00  1.320362e+00  2.659544e-01
    1.320362e+00  1.329810e+00  2.557731e-01
    1.329810e+00  1.339399e+00  2.435546e-01
    1.339399e+00  1.349127e+00  2.316928e-01
    1.349127e+00  1.358997e+00  2.217072e-01
    1.358997e+00  1.369012e+00  2.179369e-01
    1.369012e+00  1.379176e+00  2.184467e-01
    1.379176e+00  1.389492e+00  2.203312e-01
    1.389492e+00  1.399962e+00  2.232864e-01
    1.399962e+00  1.410600e+00  2.252951e-01
    1.410600e+00  1.421401e+00  2.257529e-01
    1.421401e+00  1.432370e+00  2.251605e-01
    1.432370e+00  1.443508e+00  2.215378e-01
    1.443508e+00  1.454821e+00  2.167107e-01
    1.454821e+00  1.466310e+00  2.139550e-01
    1.466310e+00  1.477979e+00  2.122976e-01
    1.477979e+00  1.489831e+00  2.133354e-01
    1.489831e+00  1.501895e+00  2.166522e-01
    1.501895e+00  1.514154e+00  2.180725e-01
    1.514154e+00  1.526608e+00  2.182541e-01
    1.526608e+00  1.539260e+00  2.165536e-01
    1.539260e+00  1.552141e+00  2.094185e-01
    1.552141e+00  1.565239e+00  2.003291e-01
    1.565239e+00  1.578548e+00  1.931706e-01
    1.578548e+00  1.592097e+00  1.884046e-01
    1.592097e+00  1.605883e+00  1.849213e-01
    1.605883e+00  1.619892e+00  1.801735e-01
    1.619892e+00  1.634178e+00  1.757131e-01
    1.634178e+00  1.648696e+00  1.729495e-01
    1.648696e+00  1.663490e+00  1.703438e-01
    1.663490e+00  1.678540e+00  1.679379e-01
    1.678540e+00  1.693879e+00  1.678402e-01
    1.693879e+00  1.709484e+00  1.667506e-01
    1.709484e+00  1.725403e+00  1.626858e-01
    1.725403e+00  1.741604e+00  1.579170e-01
    1.741604e+00  1.758121e+00  1.521787e-01
    1.758121e+00  1.774960e+00  1.473416e-01
    1.774960e+00  1.792115e+00  1.446064e-01
    1.792115e+00  1.809604e+00  1.418324e-01
    1.809604e+00  1.827455e+00  1.389547e-01
    1.827455e+00  1.845657e+00  1.361907e-01
    1.845657e+00  1.864223e+00  1.325498e-01
    1.864223e+00  1.883166e+00  1.291303e-01
    1.883166e+00  1.902500e+00  1.257928e-01
    1.902500e+00  1.922237e+00  1.232571e-01
    1.922237e+00  1.942390e+00  1.218998e-01
    1.942390e+00  1.962972e+00  1.199895e-01
    1.962972e+00  1.983997e+00  1.170915e-01
    1.983997e+00  2.005478e+00  1.129786e-01
    2.005478e+00  2.027426e+00  1.106650e-01
    2.027426e+00  2.049856e+00  1.101439e-01
    2.049856e+00  2.072808e+00  1.065605e-01
    2.072808e+00  2.096273e+00  1.013435e-01
    2.096273e+00  2.120266e+00  9.880738e-02
    2.120266e+00  2.144836e+00  9.687566e-02
    2.144836e+00  2.169962e+00  9.325520e-02
    2.169962e+00  2.195708e+00  8.922555e-02
    2.195708e+00  2.222059e+00  8.459825e-02
    2.222059e+00  2.249053e+00  7.957550e-02
    2.249053e+00  2.276721e+00  7.447666e-02
    2.276721e+00  2.305076e+00  6.993652e-02
    2.305076e+00  2.334146e+00  6.586361e-02
    2.334146e+00  2.363960e+00  6.038589e-02
    2.363960e+00  2.394549e+00  5.498598e-02
    2.394549e+00  2.425941e+00  5.179488e-02
    2.425941e+00  2.458166e+00  4.899203e-02
    2.458166e+00  2.491263e+00  4.480503e-02
    2.491263e+00  2.525272e+00  3.910958e-02
    2.525272e+00  2.560211e+00  3.335205e-02
    2.560211e+00  2.596150e+00  2.971461e-02
    2.596150e+00  2.633105e+00  2.747755e-02
    2.633105e+00  2.671126e+00  2.454388e-02
    2.671126e+00  2.710266e+00  2.192822e-02
    2.710266e+00  2.750576e+00  1.968945e-02
    2.750576e+00  2.792109e+00  1.776662e-02
    2.792109e+00  2.834917e+00  1.612153e-02
    2.834917e+00  2.879052e+00  1.427823e-02
    2.879052e+00  2.924597e+00  1.298461e-02
    2.924597e+00  2.971600e+00  1.168075e-02
    2.971600e+00  3.020142e+00  1.030650e-02
    3.020142e+00  3.070304e+00  9.295979e-03
    3.070304e+00  3.122167e+00  7.895649e-03
    3.122167e+00  3.175813e+00  6.289501e-03
    3.175813e+00  3.231333e+00  5.464636e-03
    3.231333e+00  3.288835e+00  4.904004e-03
    3.288835e+00  3.348426e+00  4.088726e-03
    3.348426e+00  3.410217e+00  3.134063e-03
    3.410217e+00  3.474344e+00  2.611420e-03
    3.474344e+00  3.540922e+00  2.443353e-03
    3.540922e+00  3.610109e+00  2.254386e-03
    3.610109e+00  3.682065e+00  1.882591e-03
    3.682065e+00  3.756948e+00  1.077598e-03
    3.756948e+00  3.834946e+00  7.093995e-04
    3.834946e+00  3.916253e+00  4.096705e-04
    3.916253e+00  4.001086e+00  0.000000e+00
    4.001086e+00  4.089683e+00  0.000000e+00
    4.089683e+00  4.182304e+00  0.000000e+00
    4.182304e+00  4.279216e+00  0.000000e+00
    4.279216e+00  4.380736e+00  0.000000e+00
    4.380736e+00  4.487199e+00  0.000000e+00
    4.487199e+00  4.598967e+00  0.000000e+00
    4.598967e+00  4.716457e+00  0.000000e+00
    4.716457e+00  4.840108e+00  0.000000e+00
    4.840108e+00  4.970431e+00  0.000000e+00
    4.970431e+00  5.107977e+00  0.000000e+00
    5.107977e+00  5.253359e+00  0.000000e+00
    5.253359e+00  5.407267e+00  0.000000e+00
    5.407267e+00  5.570472e+00  0.000000e+00
    5.570472e+00  5.743854e+00  0.000000e+00
    5.743854e+00  5.928381e+00  0.000000e+00
    5.928381e+00  6.125174e+00  0.000000e+00
    6.125174e+00  6.335491e+00  0.000000e+00
    6.335491e+00  6.560776e+00  0.000000e+00
    6.560776e+00  6.802694e+00  0.000000e+00
    6.802694e+00  7.063149e+00  0.000000e+00
    7.063149e+00  7.344360e+00  0.000000e+00
    7.344360e+00  7.648908e+00  0.000000e+00
    7.648908e+00  7.979827e+00  0.000000e+00
